date,store_id,sales,is_holiday,promotion,day_of_week,month,quarter,year,is_weekend,day_of_month,day_of_year,week_of_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,month_sin,month_cos,day_of_week_sin,day_of_week_cos,sales_lag_1,promotion_lag_1,sales_lag_7,promotion_lag_7,sales_lag_14,promotion_lag_14,sales_lag_30,promotion_lag_30,sales_rolling_mean_7,sales_rolling_std_7,sales_rolling_min_7,sales_rolling_max_7,promotion_rolling_sum_7,sales_rolling_mean_14,sales_rolling_std_14,sales_rolling_min_14,sales_rolling_max_14,promotion_rolling_sum_14,sales_rolling_mean_30,sales_rolling_std_30,sales_rolling_min_30,sales_rolling_max_30,promotion_rolling_sum_30,promotion_weekend,promotion_holiday,holiday_weekend,promotion_month,weekend_month,store_promotion,store_weekend,store_mean_encoded,dow_mean_encoded,month_mean_encoded
2020-01-01,1,1572.77,True,0,2,1,1,2020,0,1,1,1,1,0,1,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,1301.22,0.0,1300.27,0.0,1297.685,0.0,1295.935,0.0,1572.77,186.0895374096387,1572.77,1572.77,0.0,1572.77,201.1832333053281,1572.77,1572.77,0.0,1572.77,208.15256844744385,1572.77,1572.77,0.0,0,0,0,0,0,0,0,1116.649181504173,1292.9097045642377,1400.8952438027675
2020-01-02,1,925.32,False,0,3,1,1,2020,0,2,2,1,0,0,0,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1572.77,0.0,1300.27,0.0,1297.685,0.0,1295.935,0.0,1249.045,457.8162854792302,925.32,1572.77,0.0,1249.045,457.8162854792302,925.32,1572.77,0.0,1249.045,457.8162854792302,925.32,1572.77,0.0,0,0,0,0,0,0,0,1116.649181504173,1292.9828831982134,1400.8952438027675
2020-01-03,1,928.06,False,0,4,1,1,2020,0,3,3,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,925.32,0.0,1300.27,0.0,1297.685,0.0,1295.935,0.0,1142.05,373.0169777637474,925.32,1572.77,0.0,1142.05,373.0169777637474,925.32,1572.77,0.0,1142.05,373.0169777637474,925.32,1572.77,0.0,0,0,0,0,0,0,0,1116.649181504173,1301.7165400811596,1400.8952438027675
2020-01-04,1,1153.13,False,0,5,1,1,2020,1,4,4,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,928.06,0.0,1300.27,0.0,1297.685,0.0,1295.935,0.0,1144.8200000000002,304.61746842009353,925.32,1572.77,0.0,1144.8200000000002,304.61746842009353,925.32,1572.77,0.0,1144.8200000000002,304.61746842009353,925.32,1572.77,0.0,0,0,0,0,1,0,1,1116.649181504173,1469.8601815385105,1400.8952438027675
2020-01-05,1,1079.23,False,0,6,1,1,2020,1,5,5,1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1153.13,0.0,1300.27,0.0,1297.685,0.0,1295.935,0.0,1131.702,265.43221577269026,925.32,1572.77,0.0,1131.702,265.43221577269026,925.32,1572.77,0.0,1131.702,265.43221577269026,925.32,1572.77,0.0,0,0,0,0,1,0,1,1116.649181504173,1469.4053345298032,1400.8952438027675
2020-01-06,1,902.02,False,0,0,1,1,2020,0,6,6,2,0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,1079.23,0.0,1300.27,0.0,1297.685,0.0,1295.935,0.0,1093.4216666666669,255.25617026169354,902.02,1572.77,0.0,1093.4216666666669,255.25617026169354,902.02,1572.77,0.0,1093.4216666666669,255.25617026169354,902.02,1572.77,0.0,0,0,0,0,0,0,0,1116.649181504173,1291.2825684412342,1400.8952438027675
2020-01-07,1,802.37,False,0,1,1,1,2020,0,7,7,2,0,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,902.02,0.0,1300.27,0.0,1297.685,0.0,1295.935,0.0,1051.8428571428572,257.6781109390995,802.37,1572.77,0.0,1051.8428571428572,257.6781109390995,802.37,1572.77,0.0,1051.8428571428572,257.6781109390995,802.37,1572.77,0.0,0,0,0,0,0,0,0,1116.649181504173,1302.3802580355905,1400.8952438027675
2020-01-08,1,985.21,False,0,2,1,1,2020,0,8,8,2,0,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,802.37,0.0,1572.77,0.0,1297.685,0.0,1295.935,0.0,967.9057142857145,117.0076884734707,802.37,1153.13,0.0,1043.51375,239.72394796262162,802.37,1572.77,0.0,1043.51375,239.72394796262162,802.37,1572.77,0.0,0,0,0,0,0,0,0,1116.649181504173,1292.9097045642377,1400.8952438027675
2020-01-09,1,920.99,False,0,3,1,1,2020,0,9,9,2,0,0,0,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,985.21,0.0,925.32,0.0,1297.685,0.0,1295.935,0.0,967.2871428571428,117.28146894178492,802.37,1153.13,0.0,1029.9,227.93010447284053,802.37,1572.77,0.0,1029.9,227.93010447284053,802.37,1572.77,0.0,0,0,0,0,0,0,0,1116.649181504173,1292.9828831982134,1400.8952438027675
2020-01-10,1,909.95,False,0,4,1,1,2020,0,10,10,2,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,920.99,0.0,928.06,0.0,1297.685,0.0,1295.935,0.0,964.7,118.48458676131678,802.37,1153.13,0.0,1017.9050000000001,218.2165750018902,802.37,1572.77,0.0,1017.9050000000001,218.2165750018902,802.37,1572.77,0.0,0,0,0,0,0,0,0,1116.649181504173,1301.7165400811596,1400.8952438027675
